University,Program,Major,IELTS_Criteria,Minimum_IELTS,GPA_Criteria,Minimum_GPA,Application_Fee_KRW,Admission_Fee_KRW,Tuition_KRW,Tuition_Fee_Per_Semester_KRW,Scholarship_Info,Minimum_TOPIK
Kyungsung University,Undergraduate,Global Business Administration,"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.7 above or 60% above,2.7,80000,0,3396000,3396000,Not provided in uploaded Excel file,0
Kyungsung University,Undergraduate,Global Hospitality Management,"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.7 above or 61% above,2.7,80000,0,3396000,3396000,Not provided in uploaded Excel file,0
Kyungsung University,Undergraduate,Global Korean Studies,"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.7 above or 62% above,2.7,80000,0,3396000,3396000,Not provided in uploaded Excel file,0
Kyungsung University,Undergraduate,Global Mechanical Design Engineering,"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.7 above or 63% above,2.7,80000,0,4436000,4436000,Not provided in uploaded Excel file,0
Kyungsung University,Undergraduate,Global IT Engineering,"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.7 above or 64% above,2.7,80000,0,4436000,4436000,Not provided in uploaded Excel file,0
Kyungsung University,Graduate,Department of Global Business,"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.7 or 50% above,2.7,80000,550000,3904000,3904000,Not provided in uploaded Excel file,0
Kyungsung University,Graduate,Department of Global Hospitality,"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.7 or 51% above,2.7,80000,550000,3904000,3904000,Not provided in uploaded Excel file,0
Kyungsung University,Graduate,Department of Korean Culture and Education,"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.7 or 52% above,2.7,80000,550000,3904000,3904000,Not provided in uploaded Excel file,0
Kyungsung University,Graduate,Department of International Studies,"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.7 or 53% above,2.7,80000,550000,3904000,3904000,Not provided in uploaded Excel file,0
Kyungsung University,Graduate,Department of Global IT Engineering,"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.7 or 54% above,2.7,80000,550000,3904000,3904000,Not provided in uploaded Excel file,0
Kyungsung University,Graduate,Department of Global Mechanical Design Engineering,"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.7 or 55% above,2.7,80000,550000,3904000,3904000,Not provided in uploaded Excel file,0
Kyungsung University,Graduate,Department of Digital Marketing,"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.7 or 56% above,2.7,80000,550000,5856000,5856000,Not provided in uploaded Excel file,0
Kyungsung University,Korean Language Program (KLP),D4-1 (4 semester),"TOEFL iBT 59, New TOEFL 3.5, IELTS 5.5 or higher",5.5,2.6 or 50% higher,2.6,60000,0,4800000,4800000,Not provided in uploaded Excel file,0
